Category,num_cells,pct_cells,median_umis,stddev_umis
No tag molecules,0,0.0,None,None
No tag assigned,478,7.9,None,None
1 tag assigned,4845,79.7,None,None
More than 1 tag assigned,754,12.4,None,None
CMO301,83,1.4,2115.0,1662.0
CMO302,560,9.2,1282.5,1380.1
CMO303,70,1.2,1181.5,2067.7
CMO304,980,16.1,957.5,1109.2
CMO305,927,15.3,673.0,1156.4
CMO306,777,12.8,365.0,238.9
CMO307,178,2.9,352.5,251.5
CMO308,106,1.7,304.5,315.8
CMO309,261,4.3,386.0,376.8
CMO310,821,13.5,518.0,412.3
CMO311,82,1.3,650.0,311.4
CMO301|CMO302,7,0.1,2759.0,2613.2
CMO301|CMO304,13,0.2,3947.0,2943.3
CMO301|CMO305,3,0.0,3924.0,1834.9
CMO301|CMO306,3,0.0,1392.0,96.0
CMO301|CMO307,1,0.0,3487.0,0.0
CMO301|CMO309,1,0.0,2713.0,0.0
CMO301|CMO310,3,0.0,1469.0,1406.0
CMO301|CMO311,1,0.0,6033.0,0.0
CMO302|CMO303,5,0.1,4394.0,1687.6
CMO302|CMO304,69,1.1,3011.0,2043.4
CMO302|CMO305,30,0.5,3335.0,2038.8
CMO302|CMO306,8,0.1,2111.5,1234.4
CMO302|CMO307,1,0.0,1500.0,0.0
CMO302|CMO308,4,0.1,1496.5,629.8
CMO302|CMO309,11,0.2,1783.0,649.6
CMO302|CMO310,16,0.3,2180.0,1535.9
CMO302|CMO311,4,0.1,3201.5,1864.3
CMO303|CMO304,13,0.2,2766.0,1010.7
CMO303|CMO305,2,0.0,5555.0,3481.0
CMO303|CMO306,1,0.0,766.0,0.0
CMO303|CMO310,4,0.1,1704.0,1484.5
CMO304|CMO305,29,0.5,3326.0,1370.3
CMO304|CMO306,17,0.3,1443.0,507.4
CMO304|CMO307,1,0.0,2235.0,0.0
CMO304|CMO308,5,0.1,1759.0,2947.4
CMO304|CMO309,6,0.1,1725.0,812.9
CMO304|CMO310,17,0.3,1791.0,1222.1
CMO304|CMO311,4,0.1,2114.5,1345.0
CMO305|CMO306,6,0.1,1834.5,549.0
CMO305|CMO307,2,0.0,3203.0,1901.0
CMO305|CMO308,1,0.0,1186.0,0.0
CMO305|CMO309,4,0.1,1775.5,349.3
CMO305|CMO310,7,0.1,2077.0,1062.0
CMO305|CMO311,2,0.0,2704.0,244.0
CMO306|CMO307,6,0.1,874.5,234.8
